Gene	Slope	P-value
RP11-719C20.1	RP11-719C20.1	RP11-719C20.1
RP11-35O15.1	RP11-35O15.1	RP11-35O15.1
IGF1R	IGF1R	IGF1R
RP11-35O15.2	RP11-35O15.2	RP11-35O15.2
MIR4714	MIR4714	MIR4714
RP11-654A16.1	RP11-654A16.1	RP11-654A16.1
RP11-654A16.3	RP11-654A16.3	RP11-654A16.3
PGPEP1L	PGPEP1L	PGPEP1L
RP11-6O2.2	RP11-6O2.2	RP11-6O2.2
SYNM	SYNM	SYNM
RP11-6O2.4	RP11-6O2.4	RP11-6O2.4
TTC23	TTC23	TTC23
RP11-6O2.3	RP11-6O2.3	RP11-6O2.3
AC022819.3	AC022819.3	AC022819.3
LRRC28	LRRC28	LRRC28
HSP90B2P	HSP90B2P	HSP90B2P
HNRNPA1P62	HNRNPA1P62	HNRNPA1P62
RP11-616M17.1	RP11-616M17.1	RP11-616M17.1
RP11-20G13.3	RP11-20G13.3	RP11-20G13.3
RP11-20G13.2	RP11-20G13.2	RP11-20G13.2
RP11-20G13.5	RP11-20G13.5	RP11-20G13.5
RP11-20G13.1	RP11-20G13.1	RP11-20G13.1
RP11-20G13.4	RP11-20G13.4	RP11-20G13.4
RPL7P5	RPL7P5	RPL7P5
MEF2A	MEF2A	MEF2A
LYSMD4	LYSMD4	LYSMD4
DNM1P46	DNM1P46	DNM1P46
CTD-2054N24.2	CTD-2054N24.2	CTD-2054N24.2
CTD-3076O17.1	CTD-3076O17.1	CTD-3076O17.1
ADAMTS17	ADAMTS17	ADAMTS17
CTD-3076O17.2	CTD-3076O17.2	CTD-3076O17.2
RNA5SP402	RNA5SP402	RNA5SP402
RP11-90E5.1	RP11-90E5.1	RP11-90E5.1
SPATA41	SPATA41	SPATA41
CERS3-AS1	CERS3-AS1	CERS3-AS1
CERS3	CERS3	CERS3
RP11-526I2.5	RP11-526I2.5	RP11-526I2.5
RNU6-322P	RNU6-322P	RNU6-322P
PRKXP1	PRKXP1	PRKXP1
RP11-526I2.1	RP11-526I2.1	RP11-526I2.1
RNU6-181P	RNU6-181P	RNU6-181P
LINS1	LINS1	LINS1
ASB7	ASB7	ASB7
RP11-192M23.1	RP11-192M23.1	RP11-192M23.1
RP11-66B24.5	RP11-66B24.5	RP11-66B24.5
RP11-76I7.1	RP11-76I7.1	RP11-76I7.1
RP11-66B24.3	RP11-66B24.3	RP11-66B24.3
RP11-66B24.2	RP11-66B24.2	RP11-66B24.2
RP11-66B24.1	RP11-66B24.1	RP11-66B24.1
ALDH1A3	ALDH1A3	ALDH1A3
RP11-66B24.9	RP11-66B24.9	RP11-66B24.9
RP11-66B24.4	RP11-66B24.4	RP11-66B24.4
LRRK1	LRRK1	LRRK1
RP11-505E24.3	RP11-505E24.3	RP11-505E24.3
RP11-505E24.2	RP11-505E24.2	RP11-505E24.2
RP11-424I19.1	RP11-424I19.1	RP11-424I19.1
RP11-424I19.2	RP11-424I19.2	RP11-424I19.2
CHSY1	CHSY1	CHSY1
SELENOS	SELENOS	SELENOS
SNRPA1	SNRPA1	SNRPA1
RP11-299G20.2	RP11-299G20.2	RP11-299G20.2
PCSK6	PCSK6	PCSK6
RP11-299G20.5	RP11-299G20.5	RP11-299G20.5
PCSK6-AS1	PCSK6-AS1	PCSK6-AS1
RP11-14C10.3	RP11-14C10.3	RP11-14C10.3
RP11-14C10.6	RP11-14C10.6	RP11-14C10.6
RP11-14C10.4	RP11-14C10.4	RP11-14C10.4
SNRPCP18	SNRPCP18	SNRPCP18
RP11-14C10.2	RP11-14C10.2	RP11-14C10.2
RP11-14C10.5	RP11-14C10.5	RP11-14C10.5
TM2D3	TM2D3	TM2D3
RNU6-807P	RNU6-807P	RNU6-807P
TARSL2	TARSL2	TARSL2
RP11-89K11.1	RP11-89K11.1	RP11-89K11.1
DNM1P47	DNM1P47	DNM1P47
GOLGA8VP	GOLGA8VP	GOLGA8VP
RN7SL209P	RN7SL209P	RN7SL209P
OR4F6	OR4F6	OR4F6
OR4F15	OR4F15	OR4F15
OR4F14P	OR4F14P	OR4F14P
OR4F13P	OR4F13P	OR4F13P
OR4F28P	OR4F28P	OR4F28P
WBP1LP5	WBP1LP5	WBP1LP5
AC140725.7	AC140725.7	AC140725.7
OR4F4	OR4F4	OR4F4
OR4G2P	OR4G2P	OR4G2P
AC140725.8	AC140725.8	AC140725.8
FAM138E	FAM138E	FAM138E
AC140725.4	AC140725.4	AC140725.4
MIR1302-10	MIR1302-10	MIR1302-10
WASH3P	WASH3P	WASH3P
MIR6859-3	MIR6859-3	MIR6859-3
DDX11L9	DDX11L9	DDX11L9
DDX11L10	DDX11L10	DDX11L10
WASH4P	WASH4P	WASH4P
MIR6859-4	MIR6859-4	MIR6859-4
WASIR2	WASIR2	WASIR2
IL9RP3	IL9RP3	IL9RP3
POLR3K	POLR3K	POLR3K
SNRNP25	SNRNP25	SNRNP25
RHBDF1	RHBDF1	RHBDF1
Z69720.3	Z69720.3	Z69720.3
MPG	MPG	MPG
NPRL3	NPRL3	NPRL3
Z69720.2	Z69720.2	Z69720.2
Z69666.2	Z69666.2	Z69666.2
HBZ	HBZ	HBZ
HBZP1	HBZP1	HBZP1
HBM	HBM	HBM
Z84721.4	Z84721.4	Z84721.4
HBA2	HBA2	HBA2
HBA1	HBA1	HBA1
HBQ1	HBQ1	HBQ1
LA16c-OS12.2	LA16c-OS12.2	LA16c-OS12.2
LUC7L	LUC7L	LUC7L
Z69890.1	Z69890.1	Z69890.1
FAM234A	FAM234A	FAM234A
RGS11	RGS11	RGS11
ARHGDIG	ARHGDIG	ARHGDIG
PDIA2	PDIA2	PDIA2
AXIN1	AXIN1	AXIN1
MRPL28	MRPL28	MRPL28
TMEM8A	TMEM8A	TMEM8A
Z97634.3	Z97634.3	Z97634.3
NME4	NME4	NME4
DECR2	DECR2	DECR2
LA16c-359F1.1	LA16c-359F1.1	LA16c-359F1.1
RAB11FIP3	RAB11FIP3	RAB11FIP3
RP1-196A12.1	RP1-196A12.1	RP1-196A12.1
LINC00235	LINC00235	LINC00235
CAPN15	CAPN15	CAPN15
MIR5587	MIR5587	MIR5587
MIR3176	MIR3176	MIR3176
PRR35	PRR35	PRR35
PIGQ	PIGQ	PIGQ
NHLRC4	NHLRC4	NHLRC4
RAB40C	RAB40C	RAB40C
WFIKKN1	WFIKKN1	WFIKKN1
METTL26	METTL26	METTL26
MCRIP2	MCRIP2	MCRIP2
AL022341.3	AL022341.3	AL022341.3
WDR90	WDR90	WDR90
LA16c-349E10.1	LA16c-349E10.1	LA16c-349E10.1
RHOT2	RHOT2	RHOT2
RHBDL1	RHBDL1	RHBDL1
LA16c-313D11.9	LA16c-313D11.9	LA16c-313D11.9
STUB1	STUB1	STUB1
JMJD8	JMJD8	JMJD8
WDR24	WDR24	WDR24
LA16c-313D11.12	LA16c-313D11.12	LA16c-313D11.12
FBXL16	FBXL16	FBXL16
LA16c-380A1.2	LA16c-380A1.2	LA16c-380A1.2
LA16c-380A1.1	LA16c-380A1.1	LA16c-380A1.1
METRN	METRN	METRN
FAM173A	FAM173A	FAM173A
CCDC78	CCDC78	CCDC78
HAGHL	HAGHL	HAGHL
NARFL	NARFL	NARFL
MSLN	MSLN	MSLN
LA16c-335H7.2	LA16c-335H7.2	LA16c-335H7.2
MSLNL	MSLNL	MSLNL
RPUSD1	RPUSD1	RPUSD1
CHTF18	CHTF18	CHTF18
GNG13	GNG13	GNG13
PRR25	PRR25	PRR25
LA16c-360A4.1	LA16c-360A4.1	LA16c-360A4.1
LMF1	LMF1	LMF1
LA16c-306A4.1	LA16c-306A4.1	LA16c-306A4.1
LA16c-306A4.2	LA16c-306A4.2	LA16c-306A4.2
LMF1-AS1	LMF1-AS1	LMF1-AS1
RP11-161M6.6	RP11-161M6.6	RP11-161M6.6
RP11-161M6.2	RP11-161M6.2	RP11-161M6.2
SOX8	SOX8	SOX8
RP11-161M6.3	RP11-161M6.3	RP11-161M6.3
SSTR5-AS1	SSTR5-AS1	SSTR5-AS1
SSTR5	SSTR5	SSTR5
C1QTNF8	C1QTNF8	C1QTNF8
LA16c-349E11.1	LA16c-349E11.1	LA16c-349E11.1
LA16c-381G6.1	LA16c-381G6.1	LA16c-381G6.1
RP11-616M22.11	RP11-616M22.11	RP11-616M22.11
CACNA1H	CACNA1H	CACNA1H
RP11-616M22.1	RP11-616M22.1	RP11-616M22.1
RP11-616M22.2	RP11-616M22.2	RP11-616M22.2
RP11-616M22.3	RP11-616M22.3	RP11-616M22.3
TPSG1	TPSG1	TPSG1
RP11-616M22.12	RP11-616M22.12	RP11-616M22.12
TPSB2	TPSB2	TPSB2
TPSAB1	TPSAB1	TPSAB1
TPSD1	TPSD1	TPSD1
RP11-616M22.5	RP11-616M22.5	RP11-616M22.5
PRSS29P	PRSS29P	PRSS29P
RP11-616M22.10	RP11-616M22.10	RP11-616M22.10
RP11-616M22.9	RP11-616M22.9	RP11-616M22.9
TPSP2	TPSP2	TPSP2
RP11-616M22.7	RP11-616M22.7	RP11-616M22.7
LA16c-358B7.4	LA16c-358B7.4	LA16c-358B7.4
UBE2I	UBE2I	UBE2I
LA16c-358B7.3	LA16c-358B7.3	LA16c-358B7.3
RPS20P2	RPS20P2	RPS20P2
BAIAP3	BAIAP3	BAIAP3
TSR3	TSR3	TSR3
GNPTG	GNPTG	GNPTG
LA16c-316G12.2	LA16c-316G12.2	LA16c-316G12.2
UNKL	UNKL	UNKL
LA16c-312E8.2	LA16c-312E8.2	LA16c-312E8.2
C16orf91	C16orf91	C16orf91
LA16c-312E8.5	LA16c-312E8.5	LA16c-312E8.5
CCDC154	CCDC154	CCDC154
LA16c-312E8.4	LA16c-312E8.4	LA16c-312E8.4
CLCN7	CLCN7	CLCN7
LA16c-390E6.4	LA16c-390E6.4	LA16c-390E6.4
LA16c-390E6.3	LA16c-390E6.3	LA16c-390E6.3
RPS3AP2	RPS3AP2	RPS3AP2
PTX4	PTX4	PTX4
TELO2	TELO2	TELO2
IFT140	IFT140	IFT140
LA16c-385E7.1	LA16c-385E7.1	LA16c-385E7.1
TMEM204	TMEM204	TMEM204
LA16c-380F5.1	LA16c-380F5.1	LA16c-380F5.1
LA16c-380F5.3	LA16c-380F5.3	LA16c-380F5.3
LA16c-313F4.1	LA16c-313F4.1	LA16c-313F4.1
LA16c-425C2.1	LA16c-425C2.1	LA16c-425C2.1
LA16c-395F10.2	LA16c-395F10.2	LA16c-395F10.2
CRAMP1	CRAMP1	CRAMP1
LA16c-395F10.1	LA16c-395F10.1	LA16c-395F10.1
HN1L	HN1L	HN1L
LA16c-431H6.7	LA16c-431H6.7	LA16c-431H6.7
MAPK8IP3	MAPK8IP3	MAPK8IP3
LA16c-329F2.2	LA16c-329F2.2	LA16c-329F2.2
LA16c-329F2.1	LA16c-329F2.1	LA16c-329F2.1
MIR3177	MIR3177	MIR3177
LA16c-361A3.3	LA16c-361A3.3	LA16c-361A3.3
NME3	NME3	NME3
MRPS34	MRPS34	MRPS34
EME2	EME2	EME2
SPSB3	SPSB3	SPSB3
NUBP2	NUBP2	NUBP2
IGFALS	IGFALS	IGFALS
HAGH	HAGH	HAGH
FAHD1	FAHD1	FAHD1
MEIOB	MEIOB	MEIOB
LA16c-429E7.1	LA16c-429E7.1	LA16c-429E7.1
LINC00254	LINC00254	LINC00254
LINC02124	LINC02124	LINC02124
HS3ST6	HS3ST6	HS3ST6
MSRB1	MSRB1	MSRB1
RPL3L	RPL3L	RPL3L
NDUFB10	NDUFB10	NDUFB10
RPS2	RPS2	RPS2
AC005363.9	AC005363.9	AC005363.9
SNHG9	SNHG9	SNHG9
RNF151	RNF151	RNF151
AC005363.11	AC005363.11	AC005363.11
TBL3	TBL3	TBL3
NOXO1	NOXO1	NOXO1
GFER	GFER	GFER
SYNGR3	SYNGR3	SYNGR3
AC005606.14	AC005606.14	AC005606.14
ZNF598	ZNF598	ZNF598
NPW	NPW	NPW
RN7SL219P	RN7SL219P	RN7SL219P
SLC9A3R2	SLC9A3R2	SLC9A3R2
NTHL1	NTHL1	NTHL1
TSC2	TSC2	TSC2
PKD1	PKD1	PKD1
MIR1225	MIR1225	MIR1225
RP11-304L19.1	RP11-304L19.1	RP11-304L19.1
RP11-304L19.3	RP11-304L19.3	RP11-304L19.3
MIR6511B1	MIR6511B1	MIR6511B1
RP11-304L19.4	RP11-304L19.4	RP11-304L19.4
RP11-304L19.2	RP11-304L19.2	RP11-304L19.2
MIR4516	MIR4516	MIR4516
MIR3180-5	MIR3180-5	MIR3180-5
RAB26	RAB26	RAB26
SNHG19	SNHG19	SNHG19
TRAF7	TRAF7	TRAF7
CASKIN1	CASKIN1	CASKIN1
MLST8	MLST8	MLST8
BRICD5	BRICD5	BRICD5
PGP	PGP	PGP
E4F1	E4F1	E4F1
RP11-304L19.12	RP11-304L19.12	RP11-304L19.12
DNASE1L2	DNASE1L2	DNASE1L2
ECI1	ECI1	ECI1
RP11-304L19.11	RP11-304L19.11	RP11-304L19.11
RNPS1	RNPS1	RNPS1
RP11-304L19.13	RP11-304L19.13	RP11-304L19.13
MIR3677	MIR3677	MIR3677
MIR4717	MIR4717	MIR4717
ABCA3	ABCA3	ABCA3
RP11-715J22.1	RP11-715J22.1	RP11-715J22.1
ABCA17P	ABCA17P	ABCA17P
CCNF	CCNF	CCNF
MIR6767	MIR6767	MIR6767
RP11-715J22.3	RP11-715J22.3	RP11-715J22.3
RP11-715J22.4	RP11-715J22.4	RP11-715J22.4
C16orf59	C16orf59	C16orf59
MIR6768	MIR6768	MIR6768
RP11-715J22.2	RP11-715J22.2	RP11-715J22.2
NTN3	NTN3	NTN3
TBC1D24	TBC1D24	TBC1D24
RP11-715J22.6	RP11-715J22.6	RP11-715J22.6
ATP6V0C	ATP6V0C	ATP6V0C
RP11-20I23.2	RP11-20I23.2	RP11-20I23.2
AMDHD2	AMDHD2	AMDHD2
MIR3178	MIR3178	MIR3178
PDPK1	PDPK1	PDPK1
RP11-20I23.13	RP11-20I23.13	RP11-20I23.13
RP11-20I23.11	RP11-20I23.11	RP11-20I23.11
RP11-20I23.8	RP11-20I23.8	RP11-20I23.8
RP11-20I23.6	RP11-20I23.6	RP11-20I23.6
RP11-20I23.7	RP11-20I23.7	RP11-20I23.7
RP11-20I23.5	RP11-20I23.5	RP11-20I23.5
RP11-20I23.10	RP11-20I23.10	RP11-20I23.10
CTD-3126B10.2	CTD-3126B10.2	CTD-3126B10.2
AC141586.5	AC141586.5	AC141586.5
PDPK2P	PDPK2P	PDPK2P
CTD-3126B10.5	CTD-3126B10.5	CTD-3126B10.5
CTD-3126B10.4	CTD-3126B10.4	CTD-3126B10.4
ERVK13-1	ERVK13-1	ERVK13-1
KCTD5	KCTD5	KCTD5
CTD-2270P14.2	CTD-2270P14.2	CTD-2270P14.2
PRSS27	PRSS27	PRSS27
SRRM2-AS1	SRRM2-AS1	SRRM2-AS1
SRRM2	SRRM2	SRRM2
ELOB	ELOB	ELOB
CTD-2270P14.5	CTD-2270P14.5	CTD-2270P14.5
PRSS33	PRSS33	PRSS33
PRSS41	PRSS41	PRSS41
PRSS21	PRSS21	PRSS21
EIF1P4	EIF1P4	EIF1P4
ZG16B	ZG16B	ZG16B
PRSS30P	PRSS30P	PRSS30P
PRSS22	PRSS22	PRSS22
LA16c-325D7.1	LA16c-325D7.1	LA16c-325D7.1
LA16c-325D7.2	LA16c-325D7.2	LA16c-325D7.2
FLYWCH2	FLYWCH2	FLYWCH2
FLYWCH1	FLYWCH1	FLYWCH1
RPL23AP86	RPL23AP86	RPL23AP86
LA16c-321D4.2	LA16c-321D4.2	LA16c-321D4.2
KREMEN2	KREMEN2	KREMEN2
PKMYT1	PKMYT1	PKMYT1
PAQR4	PAQR4	PAQR4
LA16c-380H5.6	LA16c-380H5.6	LA16c-380H5.6
LA16c-380H5.3	LA16c-380H5.3	LA16c-380H5.3
LINC00514	LINC00514	LINC00514
LA16c-380H5.2	LA16c-380H5.2	LA16c-380H5.2
LA16c-380H5.5	LA16c-380H5.5	LA16c-380H5.5
CLDN9	CLDN9	CLDN9
CLDN6	CLDN6	CLDN6
TNFRSF12A	TNFRSF12A	TNFRSF12A
HCFC1R1	HCFC1R1	HCFC1R1
THOC6	THOC6	THOC6
BICDL2	BICDL2	BICDL2
RP11-473M20.5	RP11-473M20.5	RP11-473M20.5
MMP25	MMP25	MMP25
MMP25-AS1	MMP25-AS1	MMP25-AS1
IL32	IL32	IL32
RP11-473M20.9	RP11-473M20.9	RP11-473M20.9
RNU1-22P	RNU1-22P	RNU1-22P
ZSCAN10	ZSCAN10	ZSCAN10
RP11-473M20.11	RP11-473M20.11	RP11-473M20.11
ZNF213-AS1	ZNF213-AS1	ZNF213-AS1
ZNF205	ZNF205	ZNF205
ZNF213	ZNF213	ZNF213
CASP16P	CASP16P	CASP16P
RP11-473M20.16	RP11-473M20.16	RP11-473M20.16
AJ003147.8	AJ003147.8	AJ003147.8
AJ003147.9	AJ003147.9	AJ003147.9
OR1F1	OR1F1	OR1F1
OR1F2P	OR1F2P	OR1F2P
ZNF200	ZNF200	ZNF200
MEFV	MEFV	MEFV
LINC00921	LINC00921	LINC00921
AJ003147.11	AJ003147.11	AJ003147.11
ZNF263	ZNF263	ZNF263
LA16c-360H6.1	LA16c-360H6.1	LA16c-360H6.1
TIGD7	TIGD7	TIGD7
LA16c-360H6.3	LA16c-360H6.3	LA16c-360H6.3
ZNF75A	ZNF75A	ZNF75A
RP11-433P17.1	RP11-433P17.1	RP11-433P17.1
OR2C1	OR2C1	OR2C1
LA16c-306E5.2	LA16c-306E5.2	LA16c-306E5.2
MTCO1P28	MTCO1P28	MTCO1P28
MTND1P8	MTND1P8	MTND1P8
MTRNR2L4	MTRNR2L4	MTRNR2L4
ZSCAN32	ZSCAN32	ZSCAN32
ZNF174	ZNF174	ZNF174
ZNF597	ZNF597	ZNF597
NAA60	NAA60	NAA60
C16orf90	C16orf90	C16orf90
LA16c-306E5.1	LA16c-306E5.1	LA16c-306E5.1
CLUAP1	CLUAP1	CLUAP1
NLRC3	NLRC3	NLRC3
LA16c-390H2.4	LA16c-390H2.4	LA16c-390H2.4
SLX4	SLX4	SLX4
DNASE1	DNASE1	DNASE1
RP11-461A8.4	RP11-461A8.4	RP11-461A8.4
TRAP1	TRAP1	TRAP1
RP11-461A8.5	RP11-461A8.5	RP11-461A8.5
CREBBP	CREBBP	CREBBP
RP11-95J11.1	RP11-95J11.1	RP11-95J11.1
RP11-462G12.2	RP11-462G12.2	RP11-462G12.2
RP11-462G12.1	RP11-462G12.1	RP11-462G12.1
ADCY9	ADCY9	ADCY9
RP11-462G12.4	RP11-462G12.4	RP11-462G12.4
RP11-95P2.4	RP11-95P2.4	RP11-95P2.4
RP11-95P2.3	RP11-95P2.3	RP11-95P2.3
SRL	SRL	SRL
LINC01569	LINC01569	LINC01569
TFAP4	TFAP4	TFAP4
GLIS2	GLIS2	GLIS2
GLIS2-AS1	GLIS2-AS1	GLIS2-AS1
PAM16	PAM16	PAM16
RP11-295D4.1	RP11-295D4.1	RP11-295D4.1
RP11-295D4.3	RP11-295D4.3	RP11-295D4.3
CORO7	CORO7	CORO7
VASN	VASN	VASN
DNAJA3	DNAJA3	DNAJA3
RP11-295D4.4	RP11-295D4.4	RP11-295D4.4
RP11-295D4.5	RP11-295D4.5	RP11-295D4.5
RP11-295D4.7	RP11-295D4.7	RP11-295D4.7
NMRAL1	NMRAL1	NMRAL1
HMOX2	HMOX2	HMOX2
CDIP1	CDIP1	CDIP1
RP11-709D24.8	RP11-709D24.8	RP11-709D24.8
C16orf96	C16orf96	C16orf96
RP11-709D24.5	RP11-709D24.5	RP11-709D24.5
SUB1P3	SUB1P3	SUB1P3
UBALD1	UBALD1	UBALD1
MGRN1	MGRN1	MGRN1
RN7SL850P	RN7SL850P	RN7SL850P
RP11-709D24.6	RP11-709D24.6	RP11-709D24.6
MIR6769A	MIR6769A	MIR6769A
NUDT16L1	NUDT16L1	NUDT16L1
ANKS3	ANKS3	ANKS3
C16orf71	C16orf71	C16orf71
ZNF500	ZNF500	ZNF500
SEPT12	SEPT12	SEPT12
SMIM22	SMIM22	SMIM22
RP11-127I20.5	RP11-127I20.5	RP11-127I20.5
ROGDI	ROGDI	ROGDI
GLYR1	GLYR1	GLYR1
RP11-127I20.8	RP11-127I20.8	RP11-127I20.8
UBN1	UBN1	UBN1
PPL	PPL	PPL
SEC14L5	SEC14L5	SEC14L5
NAGPA	NAGPA	NAGPA
NAGPA-AS1	NAGPA-AS1	NAGPA-AS1
C16orf89	C16orf89	C16orf89
ALG1	ALG1	ALG1
RP11-10K17.3	RP11-10K17.3	RP11-10K17.3
EEF2KMT	EEF2KMT	EEF2KMT
RP11-10K17.6	RP11-10K17.6	RP11-10K17.6
ENPP7P14	ENPP7P14	ENPP7P14
RP11-382N13.6	RP11-382N13.6	RP11-382N13.6
LINC02164	LINC02164	LINC02164
RP11-420N3.2	RP11-420N3.2	RP11-420N3.2
RP11-382N13.4	RP11-382N13.4	RP11-382N13.4
RP11-382N13.1	RP11-382N13.1	RP11-382N13.1
SNRPCP20	SNRPCP20	SNRPCP20
RP11-382N13.3	RP11-382N13.3	RP11-382N13.3
LINC01570	LINC01570	LINC01570
MIR8065	MIR8065	MIR8065
RP11-19H6.1	RP11-19H6.1	RP11-19H6.1
RBFOX1	RBFOX1	RBFOX1
RP11-509E10.3	RP11-509E10.3	RP11-509E10.3
RP11-509E10.1	RP11-509E10.1	RP11-509E10.1
RP11-468I15.1	RP11-468I15.1	RP11-468I15.1
RP11-185J20.1	RP11-185J20.1	RP11-185J20.1
RP11-185J20.2	RP11-185J20.2	RP11-185J20.2
RNU7-99P	RNU7-99P	RNU7-99P
RNU6-457P	RNU6-457P	RNU6-457P
RNU6-328P	RNU6-328P	RNU6-328P
RP11-545E8.1	RP11-545E8.1	RP11-545E8.1
RP11-26O3.1	RP11-26O3.1	RP11-26O3.1
CTD-2535I10.1	CTD-2535I10.1	CTD-2535I10.1
RP11-279O17.2	RP11-279O17.2	RP11-279O17.2
LINC02152	LINC02152	LINC02152
RP11-279O17.3	RP11-279O17.3	RP11-279O17.3
RP11-568A19.1	RP11-568A19.1	RP11-568A19.1
RP11-483K5.2	RP11-483K5.2	RP11-483K5.2
RP11-483K5.3	RP11-483K5.3	RP11-483K5.3
TMEM114	TMEM114	TMEM114
METTL22	METTL22	METTL22
RP11-475D10.4	RP11-475D10.4	RP11-475D10.4
ABAT	ABAT	ABAT
RN7SL743P	RN7SL743P	RN7SL743P
RNU7-63P	RNU7-63P	RNU7-63P
RP11-475D10.5	RP11-475D10.5	RP11-475D10.5
TMEM186	TMEM186	TMEM186
PMM2	PMM2	PMM2
RP11-152P23.2	RP11-152P23.2	RP11-152P23.2
RP11-77H9.2	RP11-77H9.2	RP11-77H9.2
CARHSP1	CARHSP1	CARHSP1
RP11-77H9.6	RP11-77H9.6	RP11-77H9.6
RP11-77H9.1	RP11-77H9.1	RP11-77H9.1
USP7	USP7	USP7
RP11-77H9.8	RP11-77H9.8	RP11-77H9.8
RP11-473I1.6	RP11-473I1.6	RP11-473I1.6
C16orf72	C16orf72	C16orf72
RPL21P119	RPL21P119	RPL21P119
LINC02177	LINC02177	LINC02177
LINC01177	LINC01177	LINC01177
LINC01195	LINC01195	LINC01195
RP11-418I22.2	RP11-418I22.2	RP11-418I22.2
RP11-418I22.3	RP11-418I22.3	RP11-418I22.3
RNA5SP403	RNA5SP403	RNA5SP403
RNA5SP404	RNA5SP404	RNA5SP404
RP11-297M9.1	RP11-297M9.1	RP11-297M9.1
GRIN2A	GRIN2A	GRIN2A
RP11-297M9.2	RP11-297M9.2	RP11-297M9.2
RP11-895K13.2	RP11-895K13.2	RP11-895K13.2
IMPDH1P11	IMPDH1P11	IMPDH1P11
RN7SL493P	RN7SL493P	RN7SL493P
ATF7IP2	ATF7IP2	ATF7IP2
RP11-609N14.1	RP11-609N14.1	RP11-609N14.1
RP11-609N14.4	RP11-609N14.4	RP11-609N14.4
RNU6-633P	RNU6-633P	RNU6-633P
LINC01290	LINC01290	LINC01290
EMP2	EMP2	EMP2
RP11-27M24.2	RP11-27M24.2	RP11-27M24.2
TEKT5	TEKT5	TEKT5
RP11-109M19.1	RP11-109M19.1	RP11-109M19.1
MTCYBP33	MTCYBP33	MTCYBP33
MTND6P33	MTND6P33	MTND6P33
MTND5P33	MTND5P33	MTND5P33
MTND4P34	MTND4P34	MTND4P34
MTND4LP24	MTND4LP24	MTND4LP24
MTND3P13	MTND3P13	MTND3P13
MTCO3P24	MTCO3P24	MTCO3P24
MTATP6P24	MTATP6P24	MTATP6P24
NUBP1	NUBP1	NUBP1
TVP23A	TVP23A	TVP23A
RP11-876N24.1	RP11-876N24.1	RP11-876N24.1
RP11-876N24.2	RP11-876N24.2	RP11-876N24.2
CIITA	CIITA	CIITA
DEXI	DEXI	DEXI
RP11-876N24.3	RP11-876N24.3	RP11-876N24.3
RP11-876N24.5	RP11-876N24.5	RP11-876N24.5
RP11-876N24.4	RP11-876N24.4	RP11-876N24.4
CLEC16A	CLEC16A	CLEC16A
RPL7P46	RPL7P46	RPL7P46
RP11-66H6.4	RP11-66H6.4	RP11-66H6.4
RP11-66H6.3	RP11-66H6.3	RP11-66H6.3
RP11-396B14.2	RP11-396B14.2	RP11-396B14.2
HNRNPCP4	HNRNPCP4	HNRNPCP4
RMI2	RMI2	RMI2
SOCS1	SOCS1	SOCS1
TNP2	TNP2	TNP2
PRM3	PRM3	PRM3
PRM2	PRM2	PRM2
PRM1	PRM1	PRM1
MIR548H2	MIR548H2	MIR548H2
RP11-485G7.5	RP11-485G7.5	RP11-485G7.5
RP11-485G7.6	RP11-485G7.6	RP11-485G7.6
CTD-3088G3.8	CTD-3088G3.8	CTD-3088G3.8
CTD-3088G3.4	CTD-3088G3.4	CTD-3088G3.4
CTD-3088G3.6	CTD-3088G3.6	CTD-3088G3.6
LITAF	LITAF	LITAF
SNN	SNN	SNN
TXNDC11	TXNDC11	TXNDC11
RP11-490O6.2	RP11-490O6.2	RP11-490O6.2
ZC3H7A	ZC3H7A	ZC3H7A
RP11-486I11.2	RP11-486I11.2	RP11-486I11.2
BCAR4	BCAR4	BCAR4
RSL1D1	RSL1D1	RSL1D1
RP11-166B2.8	RP11-166B2.8	RP11-166B2.8
GSPT1	GSPT1	GSPT1
RP11-166B2.3	RP11-166B2.3	RP11-166B2.3
COX6CP1	COX6CP1	COX6CP1
RP11-166B2.5	RP11-166B2.5	RP11-166B2.5
RP11-166B2.9	RP11-166B2.9	RP11-166B2.9
NPIPB2	NPIPB2	NPIPB2
TNFRSF17	TNFRSF17	TNFRSF17
UBL5P4	UBL5P4	UBL5P4
SNX29	SNX29	SNX29
RP11-166B2.7	RP11-166B2.7	RP11-166B2.7
RPS23P6	RPS23P6	RPS23P6
RP11-276H1.3	RP11-276H1.3	RP11-276H1.3
RP11-276H1.2	RP11-276H1.2	RP11-276H1.2
RP11-165M1.3	RP11-165M1.3	RP11-165M1.3
RP11-165M1.2	RP11-165M1.2	RP11-165M1.2
RP11-165M1.1	RP11-165M1.1	RP11-165M1.1
RP11-552C15.1	RP11-552C15.1	RP11-552C15.1
CTD-3037G24.4	CTD-3037G24.4	CTD-3037G24.4
CTD-3037G24.3	CTD-3037G24.3	CTD-3037G24.3
CTD-3037G24.5	CTD-3037G24.5	CTD-3037G24.5
CPPED1	CPPED1	CPPED1
MIR4718	MIR4718	MIR4718
CTD-2583P5.1	CTD-2583P5.1	CTD-2583P5.1
CTD-2583P5.3	CTD-2583P5.3	CTD-2583P5.3
RP11-14K2.1	RP11-14K2.1	RP11-14K2.1
SHISA9	SHISA9	SHISA9
AC009134.1	AC009134.1	AC009134.1
