Gene	Slope	P-value
RP11-108M9.3	RP11-108M9.3	RP11-108M9.3
RP11-108M9.4	RP11-108M9.4	RP11-108M9.4
RP11-108M9.5	RP11-108M9.5	RP11-108M9.5
RNU1-2	RNU1-2	RNU1-2
RP11-108M9.6	RP11-108M9.6	RP11-108M9.6
CROCC	CROCC	CROCC
MFAP2	MFAP2	MFAP2
RP1-37C10.3	RP1-37C10.3	RP1-37C10.3
ATP13A2	ATP13A2	ATP13A2
SDHB	SDHB	SDHB
PADI2	PADI2	PADI2
RP11-380J14.1	RP11-380J14.1	RP11-380J14.1
RP11-380J14.4	RP11-380J14.4	RP11-380J14.4
PADI1	PADI1	PADI1
PADI3	PADI3	PADI3
MIR3972	MIR3972	MIR3972
PADI4	PADI4	PADI4
PADI6	PADI6	PADI6
RCC2	RCC2	RCC2
ARHGEF10L	ARHGEF10L	ARHGEF10L
RP11-473A10.2	RP11-473A10.2	RP11-473A10.2
ACTL8	ACTL8	ACTL8
LINC01654	LINC01654	LINC01654
IGSF21	IGSF21	IGSF21
RP11-174G17.3	RP11-174G17.3	RP11-174G17.3
RP11-174G17	RP11-174G17	RP11-174G17
RP11-422P22.1	RP11-422P22.1	RP11-422P22.1
KLHDC7A	KLHDC7A	KLHDC7A
DYNLL1P3	DYNLL1P3	DYNLL1P3
RP1-8B22.2	RP1-8B22.2	RP1-8B22.2
PAX7	PAX7	PAX7
TAS1R2	TAS1R2	TAS1R2
ALDH4A1	ALDH4A1	ALDH4A1
MIR4695	MIR4695	MIR4695
MIR1290	MIR1290	MIR1290
IFFO2	IFFO2	IFFO2
RP5-1126H10.2	RP5-1126H10.2	RP5-1126H10.2
UBR4	UBR4	UBR4
RP1-43E13.2	RP1-43E13.2	RP1-43E13.2
EMC1	EMC1	EMC1
MRTO4	MRTO4	MRTO4
AKR7L	AKR7L	AKR7L
AKR7A3	AKR7A3	AKR7A3
RP4-657E11.10	RP4-657E11.10	RP4-657E11.10
AKR7A2	AKR7A2	AKR7A2
RNU6-1099P	RNU6-1099P	RNU6-1099P
PQLC2	PQLC2	PQLC2
CAPZB	CAPZB	CAPZB
RN7SL277P	RN7SL277P	RN7SL277P
RNU4-28P	RNU4-28P	RNU4-28P
RP5-1056L3.1	RP5-1056L3.1	RP5-1056L3.1
MINOS1	MINOS1	MINOS1
RP5-1056L3.3	RP5-1056L3.3	RP5-1056L3.3
NBL1	NBL1	NBL1
HTR6	HTR6	HTR6
TMCO4	TMCO4	TMCO4
RNF186	RNF186	RNF186
RP11-91K11.2	RP11-91K11.2	RP11-91K11.2
OTUD3	OTUD3	OTUD3
PLA2G2E	PLA2G2E	PLA2G2E
RN7SL304P	RN7SL304P	RN7SL304P
PLA2G2A	PLA2G2A	PLA2G2A
PLA2G5	PLA2G5	PLA2G5
PLA2G2D	PLA2G2D	PLA2G2D
PLA2G2F	PLA2G2F	PLA2G2F
RP3-340N1.2	RP3-340N1.2	RP3-340N1.2
PLA2G2C	PLA2G2C	PLA2G2C
UBXN10-AS1	UBXN10-AS1	UBXN10-AS1
UBXN10	UBXN10	UBXN10
LINC01757	LINC01757	LINC01757
VWA5B1	VWA5B1	VWA5B1
RP4-745E8.2	RP4-745E8.2	RP4-745E8.2
LINC01141	LINC01141	LINC01141
RP4-749H3.2	RP4-749H3.2	RP4-749H3.2
CAMK2N1	CAMK2N1	CAMK2N1
MUL1	MUL1	MUL1
RPS4XP4	RPS4XP4	RPS4XP4
FAM43B	FAM43B	FAM43B
CDA	CDA	CDA
